"","title","current","previous","gross"
"1","Pearl Harbor (TO)             ",29.6,"75.2",118.9
"2","Shrek (DW)                    ",28.2,"55.2",148.4
"3","The Animal (CO)               ",19.6,"  NA",19.6
"4","Moulin Rouge (20)             ",13.7," 0.3",14.4
"5","What's the Worst that... (MGM)",13,"  NA",13
"6","The Mummy Returns (UN)        ",7.8,"19.0",181.2
"7","A Knight's Tale (CO)          ",3.4," 9.1",49.4
"8","Bridget Jones's Diary (MM)    ",2," 4.2",65.4
"9","Angel Eyes (WB)               ",1.9," 6.2",21.7
"10","Momento (Newmarket Films)     ",1," 1.9",15.8
"11","Along Came a Spider (PA)      ",0.7," 2.1",71.8
"12","Spy Kids (DI)                 ",0.4," 1.3",105.9
"13","Blow (NL)                     ",0.4," 1.3",52.2
"14","Driven (WB)                   ",0.3," 1.2",31.8
"15","O'Brother, Where Art... (TS)  ",0.3," 0.3",44.2
"16","Crocodile Dundee in L.A. (PA) ",0.3," 1.0",24.3
"17","The Tailor of Panama (CO)     ",0.3," 0.7",12.9
"18","Crouching Tiger...Dragon (SC) ",0.3," 0.5",127.2
"19","Save the Last Dance (PA)      ",0.2," 0.5",90.2
"20","The Golden Bowl (LG)          ",0.2," 0.5",1.5
"21","With a Friend Like Harry (MM) ",0.2," 0.4",1.8
"22","Traffic (USA)                 ",0.1," 0.4",123.8
"23","Castaway (20)                 ",0.1," 0.2",233.2
"24","Startup.com (AR)              ",0.1," 0.2",0.5
"25","Amores Perros (Lions Gate)    ",0.1," 0.3",4.8
"26","Kingdom Come (FS)             ",0.1," 0.4",22.7
